Processing 236 SAP files with Claude extraction...
  [1/236] Processing NCT00044278... ✓ (20 endpoints, 0 methods)
  [121/236] Processing NCT01827839... ✓ (8 endpoints, 0 methods)
  [122/236] Processing NCT01831791... ✓ (15 endpoints, 15 methods)
  [123/236] Processing NCT01849016... ✓ (1 endpoints, 1 methods)
  [124/236] Processing NCT01853878... ✓ (1 endpoints, 1 methods)
  [125/236] Processing NCT01868035... ✓ (1 endpoints, 1 methods)
  [126/236] Processing NCT01899703... ✓ (16 endpoints, 0 methods)
  [127/236] Processing NCT01899742... ✓ (1 endpoints, 1 methods)
  [128/236] Processing NCT01929863... ✓ (12 endpoints, 0 methods)
  [129/236] Processing NCT01953549... ✓ (2 endpoints, 1 methods)
  [130/236] Processing NCT01978145... ✓ (1 endpoints, 1 methods)
  [131/236] Processing NCT01999842... ✓ (6 endpoints, 3 methods)
  [132/236] Processing NCT02045797... ✓ (1 endpoints, 1 methods)
  [133/236] Processing NCT02100644... ✓ (2 endpoints, 2 methods)
  [134/236] Processing NCT02105974... ✓ (1 endpoints, 1 methods)
  [135/236] Processing NCT02124798... ✓ (1 endpoints, 1 methods)
  [136/236] Processing NCT02135354... ✓ (1 endpoints, 0 methods)
  [137/236] Processing NCT02145468... ✓ (1 endpoints, 1 methods)
  [138/236] Processing NCT02184624... ✓ (1 endpoints, 1 methods)
  [139/236] Processing NCT02184637... ✓ (4 endpoints, 4 methods)
  [140/236] Processing NCT02202161... ✓ (0 endpoints, 1 methods)
  [141/236] Processing NCT02207829... ✓ (1 endpoints, 1 methods)
  [142/236] Processing NCT02218697... ✓ (2 endpoints, 4 methods)
  [143/236] Processing NCT02236611... ✓ (1 endpoints, 1 methods)
  [144/236] Processing NCT02242643... ✓ (2 endpoints, 3 methods)
  [145/236] Processing NCT02256865... ✓ (1 endpoints, 1 methods)
  [146/236] Processing NCT02257385... ✓ (1 endpoints, 1 methods)
  [147/236] Processing NCT02262689... ✓ (1 endpoints, 0 methods)
  [148/236] Processing NCT02281318... ✓ (1 endpoints, 1 methods)
  [149/236] Processing NCT02322671... ✓ (1 endpoints, 1 methods)
  [150/236] Processing NCT02345161... ✓ (4 endpoints, 2 methods)
  [151/236] Processing NCT02369341... ✓ (6 endpoints, 2 methods)
  [152/236] Processing NCT02371603... ✓ (3 endpoints, 3 methods)
  [153/236] Processing NCT02397915... ✓ (1 endpoints, 1 methods)
  [154/236] Processing NCT02416180... ✓ (1 endpoints, 1 methods)
  [155/236] Processing NCT02446613... ✓ (8 endpoints, 9 methods)
  [156/236] Processing NCT02467933... ✓ (1 endpoints, 0 methods)
  [157/236] Processing NCT02481154... ✓ (2 endpoints, 0 methods)
  [158/236] Processing NCT02496221... ✓ (9 endpoints, 2 methods)
  [159/236] Processing NCT02502734... ✓ (1 endpoints, 1 methods)
  [160/236] Processing NCT02509104... ✓ (3 endpoints, 2 methods)
  [161/236] Processing NCT02542813... ✓ (13 endpoints, 12 methods)
  [162/236] Processing NCT02578953... ✓ (2 endpoints, 2 methods)
  [163/236] Processing NCT02581410... ✓ (8 endpoints, 2 methods)
  [164/236] Processing NCT02621554... ✓ (1 endpoints, 0 methods)
  [165/236] Processing NCT02632708... ✓ (1 endpoints, 0 methods)
  [166/236] Processing NCT02637206... ✓ (5 endpoints, 5 methods)
  [167/236] Processing NCT02697058... ✓ (1 endpoints, 1 methods)
  [168/236] Processing NCT02735083... ✓ (1 endpoints, 4 methods)
  [169/236] Processing NCT02743221... ✓ (1 endpoints, 1 methods)
  [170/236] Processing NCT02746952... ✓ (2 endpoints, 0 methods)
  [171/236] Processing NCT02808442... ✓ (1 endpoints, 1 methods)
  [172/236] Processing NCT02848443... ✓ (9 endpoints, 0 methods)
  [173/236] Processing NCT02877615... ✓ (1 endpoints, 0 methods)
  [174/236] Processing NCT02879747... ✓ (1 endpoints, 1 methods)
  [175/236] Processing NCT02920541... ✓ (2 endpoints, 2 methods)
  [176/236] Processing NCT02920697... ✓ (2 endpoints, 2 methods)
  [177/236] Processing NCT02922075... ✓ (1 endpoints, 0 methods)
  [178/236] Processing NCT02979366... ✓ (5 endpoints, 5 methods)
  [179/236] Processing NCT02985684... ✓ (8 endpoints, 12 methods)
  [180/236] Processing NCT02989857... ✓ (1 endpoints, 1 methods)
  [181/236] Processing NCT03052374... ✓ (1 endpoints, 1 methods)
  [182/236] Processing NCT03141281... ✓ (0 endpoints, 6 methods)
  [183/236] Processing NCT03173248... ✓ (2 endpoints, 1 methods)
  [184/236] Processing NCT03184948... ✓ (2 endpoints, 2 methods)
  [185/236] Processing NCT03226275... ✓ (12 endpoints, 6 methods)
  [186/236] Processing NCT03274882... ✓ (1 endpoints, 1 methods)
  [187/236] Processing NCT03306394... ✓ (4 endpoints, 0 methods)
  [188/236] Processing NCT03343197... ✓ (1 endpoints, 0 methods)
  [189/236] Processing NCT03411161... ✓ (10 endpoints, 3 methods)
  [190/236] Processing NCT03422848... ✓ (20 endpoints, 6 methods)
  [191/236] Processing NCT03473821... ✓ (2 endpoints, 2 methods)
  [192/236] Processing NCT03494712... ✓ (1 endpoints, 1 methods)
  [193/236] Processing NCT03558139... ✓ (11 endpoints, 6 methods)
  [194/236] Processing NCT03672695... ✓ (6 endpoints, 6 methods)
  [195/236] Processing NCT03681574... ✓ (1 endpoints, 0 methods)
  [196/236] Processing NCT03715153... ✓ (1 endpoints, 0 methods)
  [197/236] Processing NCT03715166... ✓ (1 endpoints, 1 methods)
  [198/236] Processing NCT03755154... ✓ (6 endpoints, 3 methods)
  [199/236] Processing NCT03869892... ✓ (1 endpoints, 2 methods)
  [200/236] Processing NCT04067518... ✓ (2 endpoints, 0 methods)
  [201/236] Processing NCT04253171... ✓ (23 endpoints, 13 methods)
  [202/236] Processing NCT04340791... ✓ (1 endpoints, 1 methods)
  [203/236] Processing NCT04340804... ✓ (1 endpoints, 1 methods)
  [204/236] Processing NCT04517006... ✓ (4 endpoints, 4 methods)
  [205/236] Processing NCT04591808... ✓ (2 endpoints, 2 methods)
  [206/236] Processing NCT04602286... ✓ (2 endpoints, 2 methods)
  [207/236] Processing NCT04605978... ✓ (1 endpoints, 1 methods)
  [208/236] Processing NCT04610203... ✓ (8 endpoints, 2 methods)
  [209/236] Processing NCT04629443... ✓ (7 endpoints, 3 methods)
  [210/236] Processing NCT04742101... ✓ (3 endpoints, 3 methods)
  [211/236] Processing NCT04744636... ✓ (4 endpoints, 4 methods)
  [212/236] Processing NCT04786080... ✓ (1 endpoints, 0 methods)
  [213/236] Processing NCT04817761... ✓ (4 endpoints, 4 methods)
  [214/236] Processing NCT04892108... ✓ (1 endpoints, 1 methods)
  [215/236] Processing NCT04893213... ✓ (2 endpoints, 2 methods)
  [216/236] Processing NCT04909372... ✓ (1 endpoints, 1 methods)
  [217/236] Processing NCT04954326... ✓ (2 endpoints, 2 methods)
  [218/236] Processing NCT04956666... ✓ (1 endpoints, 1 methods)
  [219/236] Processing NCT04976725... ✓ (7 endpoints, 7 methods)
  [220/236] Processing NCT05063708... ✓ (1 endpoints, 1 methods)
  [221/236] Processing NCT05071430... ✓ (14 endpoints, 6 methods)
  [222/236] Processing NCT05162755... ✓ (2 endpoints, 2 methods)
  [223/236] Processing NCT05171218... ✓ (1 endpoints, 1 methods)
  [224/236] Processing NCT05173376... ✓ (1 endpoints, 0 methods)
  [225/236] Processing NCT05184309... ✓ (4 endpoints, 4 methods)
  [226/236] Processing NCT05198141... ✓ (1 endpoints, 1 methods)
  [227/236] Processing NCT05223673... ✓ (2 endpoints, 2 methods)
  [228/236] Processing NCT05399836... ✓ (1 endpoints, 0 methods)
  [229/236] Processing NCT05555745... ✓ (1 endpoints, 0 methods)
  [230/236] Processing NCT05752786... ✓ (2 endpoints, 2 methods)
  [231/236] Processing NCT05788939... ✓ (1 endpoints, 1 methods)
  [232/236] Processing NCT06660966... ✓ (1 endpoints, 1 methods)
  [233/236] Processing NCT06950970... ✓ (2 endpoints, 5 methods)
  [234/236] Processing NCT07110649... ✓ (1 endpoints, 1 methods)
  [235/236] Processing NCT07165366... ✓ (3 endpoints, 2 methods)
  [236/236] Processing NCT07254182... ✓ (1 endpoints, 1 methods)
Graph exported to /mnt/c/Users/vijay/Onedrive/Documents/Github/clinicaltrial/sap_rtx4090/sap_generator/enterprise_sap_system/knowledge_graph/output/factual_kg_claude.json

================================================================================
CLAUDE EXTRACTION COMPLETE
================================================================================
Files processed: 236
Endpoints extracted: 908
Methods extracted: 502
Populations extracted: 94
Stratification factors: 2
TFLs extracted: 58
Quotes with provenance: 1506
================================================================================

Graph saved to: /mnt/c/Users/vijay/Onedrive/Documents/Github/clinicaltrial/sap_rtx4090/sap_generator/enterprise_sap_system/knowledge_graph/output/factual_kg_claude.json
