Processing 236 SAP files with Claude extraction...
  [138/236] Processing NCT02184624... ✓ (ep:1 meth:1 cens:0 est:1)
  [139/236] Processing NCT02184637... ✓ (ep:4 meth:4 cens:0 est:0)
  [140/236] Processing NCT02202161... ✓ (ep:0 meth:1 cens:0 est:0)
  [141/236] Processing NCT02207829... ✓ (ep:1 meth:2 cens:0 est:0)
  [142/236] Processing NCT02218697... ✓ (ep:2 meth:4 cens:0 est:0)
  [143/236] Processing NCT02236611... ✓ (ep:1 meth:3 cens:0 est:1)
  [144/236] Processing NCT02242643... ✓ (ep:2 meth:4 cens:0 est:2)
  [145/236] Processing NCT02256865... ✓ (ep:1 meth:1 cens:0 est:0)
  [146/236] Processing NCT02257385... ✓ (ep:1 meth:1 cens:0 est:1)
  [147/236] Processing NCT02262689... ✓ (ep:1 meth:1 cens:0 est:0)
  [148/236] Processing NCT02281318... ✓ (ep:1 meth:1 cens:0 est:1)
  [149/236] Processing NCT02322671... ✓ (ep:1 meth:1 cens:0 est:0)
  [150/236] Processing NCT02345161... ✓ (ep:4 meth:2 cens:0 est:0)
  [151/236] Processing NCT02369341... ✓ (ep:6 meth:6 cens:0 est:0)
  [152/236] Processing NCT02371603... ✓ (ep:3 meth:3 cens:0 est:0)
  [153/236] Processing NCT02397915... ✓ (ep:1 meth:1 cens:0 est:1)
  [154/236] Processing NCT02416180... ✓ (ep:1 meth:1 cens:0 est:1)
  [155/236] Processing NCT02446613... ✓ (ep:8 meth:8 cens:0 est:0)
  [156/236] Processing NCT02467933... ✓ (ep:1 meth:1 cens:0 est:1)
  [157/236] Processing NCT02481154... ✓ (ep:2 meth:0 cens:0 est:0)
  [158/236] Processing NCT02496221... ✓ (ep:9 meth:2 cens:0 est:0)
  [159/236] Processing NCT02502734... ✓ (ep:1 meth:1 cens:0 est:1)
  [160/236] Processing NCT02509104... ✓ (ep:3 meth:2 cens:0 est:0)
  [161/236] Processing NCT02542813... ✓ (ep:13 meth:13 cens:0 est:0)
  [162/236] Processing NCT02578953... ✓ (ep:2 meth:2 cens:0 est:0)
  [163/236] Processing NCT02581410... ✓ (ep:8 meth:1 cens:0 est:0)
  [164/236] Processing NCT02621554... ✓ (ep:1 meth:1 cens:0 est:0)
  [165/236] Processing NCT02632708... ✓ (ep:1 meth:0 cens:0 est:0)
  [166/236] Processing NCT02637206... ✓ (ep:5 meth:5 cens:0 est:0)
  [167/236] Processing NCT02697058... ✓ (ep:1 meth:1 cens:0 est:1)
  [168/236] Processing NCT02735083... ✓ (ep:1 meth:4 cens:0 est:0)
  [169/236] Processing NCT02743221... ✓ (ep:1 meth:1 cens:1 est:1)
  [170/236] Processing NCT02746952... ✓ (ep:2 meth:0 cens:0 est:0)
  [171/236] Processing NCT02808442... ✓ (ep:1 meth:1 cens:0 est:0)
  [172/236] Processing NCT02848443... ✓ (ep:9 meth:0 cens:0 est:0)
  [173/236] Processing NCT02877615... ✓ (ep:1 meth:0 cens:0 est:0)
  [174/236] Processing NCT02879747... ✓ (ep:1 meth:1 cens:0 est:1)
  [175/236] Processing NCT02920541... ✓ (ep:2 meth:2 cens:0 est:0)
  [176/236] Processing NCT02920697... ✓ (ep:2 meth:2 cens:0 est:0)
  [177/236] Processing NCT02922075... ✓ (ep:1 meth:0 cens:0 est:0)
  [178/236] Processing NCT02979366... ✓ (ep:5 meth:5 cens:0 est:0)
  [179/236] Processing NCT02985684... ✓ (ep:8 meth:12 cens:4 est:0)
  [180/236] Processing NCT02989857... ✓ (ep:1 meth:3 cens:1 est:1)
  [181/236] Processing NCT03052374... ✓ (ep:1 meth:1 cens:0 est:0)
  [182/236] Processing NCT03141281... ✓ (ep:0 meth:6 cens:0 est:0)
  [183/236] Processing NCT03173248... ✓ (ep:3 meth:1 cens:3 est:1)
  [184/236] Processing NCT03184948... ✓ (ep:2 meth:2 cens:0 est:0)
  [185/236] Processing NCT03226275... ✓ (ep:13 meth:6 cens:0 est:0)
  [186/236] Processing NCT03274882... ✓ (ep:1 meth:1 cens:1 est:1)
  [187/236] Processing NCT03306394... ✓ (ep:4 meth:0 cens:0 est:0)
  [188/236] Processing NCT03343197... ✓ (ep:1 meth:0 cens:0 est:0)
  [189/236] Processing NCT03411161... ✓ (ep:10 meth:10 cens:0 est:1)
  [190/236] Processing NCT03422848... ✓ (ep:20 meth:6 cens:0 est:0)
  [191/236] Processing NCT03473821... ✓ (ep:2 meth:2 cens:0 est:0)
  [192/236] Processing NCT03494712... ✓ (ep:1 meth:1 cens:0 est:0)
  [193/236] Processing NCT03558139... ✓ (ep:11 meth:10 cens:2 est:0)
  [194/236] Processing NCT03672695... ✓ (ep:6 meth:6 cens:0 est:0)
  [195/236] Processing NCT03681574... ✓ (ep:1 meth:1 cens:0 est:0)
  [196/236] Processing NCT03715153... ✓ (ep:1 meth:0 cens:0 est:0)
  [197/236] Processing NCT03715166... ✓ (ep:1 meth:1 cens:0 est:0)
  [198/236] Processing NCT03755154... ✓ (ep:6 meth:3 cens:0 est:0)
  [199/236] Processing NCT03869892... ✓ (ep:1 meth:1 cens:0 est:1)
  [200/236] Processing NCT04067518... ✓ (ep:2 meth:0 cens:0 est:0)
  [201/236] Processing NCT04253171... ✓ (ep:24 meth:15 cens:0 est:1)
  [202/236] Processing NCT04340791... ✓ (ep:1 meth:1 cens:0 est:0)
  [203/236] Processing NCT04340804... ✓ (ep:1 meth:1 cens:0 est:1)
  [204/236] Processing NCT04517006... ✓ (ep:4 meth:4 cens:0 est:0)
  [205/236] Processing NCT04591808... ✓ (ep:2 meth:2 cens:0 est:0)
  [206/236] Processing NCT04602286... ✓ (ep:2 meth:2 cens:0 est:0)
  [207/236] Processing NCT04605978... ✓ (ep:1 meth:1 cens:0 est:1)
  [208/236] Processing NCT04610203... ✓ (ep:8 meth:2 cens:0 est:0)
  [209/236] Processing NCT04629443... ✓ (ep:7 meth:3 cens:0 est:0)
  [210/236] Processing NCT04742101... ✓ (ep:3 meth:3 cens:0 est:2)
  [211/236] Processing NCT04744636... ✓ (ep:4 meth:4 cens:0 est:0)
  [212/236] Processing NCT04786080... ✓ (ep:1 meth:0 cens:0 est:0)
  [213/236] Processing NCT04817761... ✓ (ep:4 meth:3 cens:0 est:0)
  [214/236] Processing NCT04892108... ✓ (ep:6 meth:1 cens:0 est:1)
  [215/236] Processing NCT04893213... ✓ (ep:2 meth:0 cens:0 est:0)
  [216/236] Processing NCT04909372... ✓ (ep:1 meth:1 cens:0 est:0)
  [217/236] Processing NCT04954326... ✓ (ep:2 meth:2 cens:0 est:0)
  [218/236] Processing NCT04956666... ✓ (ep:1 meth:1 cens:0 est:0)
  [219/236] Processing NCT04976725... ✓ (ep:7 meth:7 cens:0 est:0)
  [220/236] Processing NCT05063708... ✓ (ep:1 meth:1 cens:0 est:1)
  [221/236] Processing NCT05071430... ✓ (ep:14 meth:5 cens:0 est:1)
  [222/236] Processing NCT05162755... ✓ (ep:2 meth:2 cens:0 est:0)
  [223/236] Processing NCT05171218... ✓ (ep:1 meth:1 cens:0 est:0)
  [224/236] Processing NCT05173376... ✓ (ep:1 meth:1 cens:0 est:0)
  [225/236] Processing NCT05184309... ✓ (ep:4 meth:4 cens:0 est:0)
  [226/236] Processing NCT05198141... ✓ (ep:1 meth:1 cens:0 est:0)
  [227/236] Processing NCT05223673... ✓ (ep:2 meth:2 cens:1 est:2)
  [228/236] Processing NCT05399836... ✓ (ep:1 meth:0 cens:0 est:0)
  [229/236] Processing NCT05555745... ✓ (ep:1 meth:1 cens:0 est:0)
  [230/236] Processing NCT05752786... ✓ (ep:2 meth:2 cens:0 est:2)
  [231/236] Processing NCT05788939... ✓ (ep:1 meth:1 cens:0 est:0)
  [232/236] Processing NCT06660966... ✓ (ep:1 meth:1 cens:0 est:0)
  [233/236] Processing NCT06950970... ✓ (ep:2 meth:3 cens:0 est:0)
  [234/236] Processing NCT07110649... ✓ (ep:1 meth:1 cens:0 est:1)
  [235/236] Processing NCT07165366... ✓ (ep:3 meth:2 cens:0 est:0)
  [236/236] Processing NCT07254182... ✓ (ep:1 meth:1 cens:0 est:1)
Graph exported to /mnt/c/Users/vijay/Onedrive/Documents/Github/clinicaltrial/sap_rtx4090/sap_generator/enterprise_sap_system/knowledge_graph/output/factual_kg_claude.json

================================================================================
CLAUDE EXTRACTION COMPLETE
================================================================================
Files processed: 236
Endpoints extracted: 910
Methods extracted: 487
Populations extracted: 99
Stratification factors: 6
TFLs extracted: 63
Censoring rules: 26
Multiplicity adjustments: 0
Visit schedules: 809
Estimands: 64
Quotes with provenance: 1592
================================================================================

Graph saved to: /mnt/c/Users/vijay/Onedrive/Documents/Github/clinicaltrial/sap_rtx4090/sap_generator/enterprise_sap_system/knowledge_graph/output/factual_kg_claude.json
